[ACCESS DENIED] 2025-06-13 09:46:17.255376+00:00 | Path: /api/storage/test-auth/ | IP: 127.0.0.1 | Status: 404 | User: Anonymous
2025-06-13 11:25:05,012 [INFO] Testing access logger
2025-06-13 13:16:34,929 [WARNING] [ACCESS LOG] 2025-06-13 13:16:34.929592+00:00 | Path: /api/storage/share/7/ | Method: POST | IP: 127.0.0.1 | Status: 404 | User: testuser1
2025-06-13 13:39:17,645 [WARNING] [ACCESS LOG] 2025-06-13 13:39:17.644980+00:00 | Path: /api/storage/shae/ | Method: POST | IP: 127.0.0.1 | Status: 404 | User: Anonymous
2025-06-13 13:39:26,621 [WARNING] [ACCESS LOG] 2025-06-13 13:39:26.621478+00:00 | Path: /api/storage/shae/ | Method: POST | IP: 127.0.0.1 | Status: 404 | User: Anonymous
2025-06-13 13:39:27,359 [WARNING] [ACCESS LOG] 2025-06-13 13:39:27.359447+00:00 | Path: /api/storage/shae/ | Method: POST | IP: 127.0.0.1 | Status: 404 | User: Anonymous
2025-06-13 13:39:28,053 [WARNING] [ACCESS LOG] 2025-06-13 13:39:28.053530+00:00 | Path: /api/storage/shae/ | Method: POST | IP: 127.0.0.1 | Status: 404 | User: Anonymous
2025-06-13 13:40:45,415 [WARNING] [ACCESS LOG] 2025-06-13 13:40:45.415142+00:00 | Path: /api/storage/download/13/ | Method: GET | IP: 127.0.0.1 | Status: 403 | User: testuser3
2025-06-13 13:41:42,446 [WARNING] [ACCESS LOG] 2025-06-13 13:41:42.446702+00:00 | Path: /api/storage/download/13/ | Method: POST | IP: 127.0.0.1 | Status: 405 | User: testuser3
2025-06-13 13:43:43,257 [WARNING] [ACCESS LOG] 2025-06-13 13:43:43.257185+00:00 | Path: /api/storage/download/13/ | Method: GET | IP: 127.0.0.1 | Status: 403 | User: testuser3
2025-06-13 13:43:55,283 [WARNING] [ACCESS LOG] 2025-06-13 13:43:55.283400+00:00 | Path: /api/storage/public/366b20dd-2388-4ef7-8b2e-499518488f71/ | Method: GET | IP: 127.0.0.1 | Status: 404 | User: Anonymous
2025-06-13 13:44:02,704 [WARNING] [ACCESS LOG] 2025-06-13 13:44:02.703744+00:00 | Path: /api/storage/share/3/ | Method: POST | IP: 127.0.0.1 | Status: 401 | User: Anonymous
2025-06-14 09:17:19,971 [WARNING] [ACCESS LOG] 2025-06-14 09:17:19.971142+00:00 | Path: /api/storage/public/9d9a5951-0faf-46f4-bec9-d4d57cd2b11b/ | Method: GET | IP: 127.0.0.1 | Status: 404 | User: testuser
